brca_metabric:MB-5178	DNAH5,COL22A1,CDH1,AHNAK2,PBRM1
brca_metabric:MB-5184	BRCA2,PDE4DIP,CDH1,PIK3CA,DNAH2,CTNNA3
brca_metabric:MB-5190	TP53,MYO3A,PIK3CA,SETD1A,DCAF4L2
brca_metabric:MB-5191	MYO1A,MYH9,ARID1B,APC,PDE4DIP,CDH1,H2BC4
brca_metabric:MB-5298	USP28,AHNAK2,TP53
brca_metabric:MB-5299	SYNE1,AHNAK,SF3B1,TP53,TG,PIK3CA,ATR
brca_metabric:MB-5313	FANCA,SHANK2,TP53,PIK3CA,TTYH1
brca_metabric:MB-5326	KMT2C,PRKACG,HERC2,CDH1,JAK1,PIK3CA,ARID1A
brca_metabric:MB-5327	PTPRM,MUC16,TP53,AHNAK2,FBXW7,KDM6A
brca_metabric:MB-5329	BRCA2,AHNAK,RYR2,TP53,KMT2C,SMAD4,ERBB2,ASXL2,CDH1,BCAS3,PIK3CA,PIK3R1
brca_metabric:MB-5330	ADGRA2,AHNAK,MUC16,TG,GLDC,NRAS,TBX3,SETD1A,PIK3R1,MAP3K1
brca_metabric:MB-5366	NCOR2,PIK3CA
brca_metabric:MB-5368	MYO1A,SF3B1,COL22A1,PDE4DIP,UTRN,PIK3CA,SETD1A,ARID1A
brca_metabric:MB-5384	USP28,SETDB1,THADA,STK11,AHNAK2,CTNNA3
brca_metabric:MB-5390	AHNAK,TP53,ROS1,AFDN,AKT2
brca_metabric:MB-5392	AKAP9,TP53,DNAH11,AHNAK2,PIK3CA,USH2A,KMT2D
brca_metabric:MB-5405	PTPRM,AKAP9,NCOA3,SBNO1,AHNAK2,EGFR
brca_metabric:MB-5463	THADA,PDE4DIP,CDH1
brca_metabric:MB-5484	LAMA2,THADA,CDH1,NR3C1,RUNX1,PIK3CA,CHEK2
brca_metabric:MB-5492	L1CAM,FANCA,RYR2,CDH1,AFDN,KLRG1,NPNT,CTNNA3
brca_metabric:MB-5493	AKAP9,FANCA,MUC16,DNAH5,TP53,SBNO1,CDH1,AHNAK2,PIK3CA
brca_metabric:MB-5554	BRCA2,DNAH11,ASXL2,CDH1,PIK3CA
brca_metabric:MB-5559	USP9X,TAF1,MUC16,TP53
brca_metabric:MB-5563	SYNE1,KMT2C,COL12A1,ERBB2,BRAF,CDH1,RUNX1
brca_metabric:MB-5577	SYNE1,AKT1,TP53,ARID1A,AHNAK2,EP300
brca_metabric:MB-5592	AHNAK,MUC16,RYR2,GATA3,COL22A1,LAMB3,CDH1,AHNAK2,PIK3CA,CDKN1B
brca_metabric:MB-5593	BRCA2,L1CAM,TP53,ARID2,THADA,STAB2,AHNAK2,PIK3CA,KDM6A
brca_metabric:MB-5596	LIFR,PTPRM,PTPRD,COL6A3,ERBB3,COL12A1,FOXP1,BIRC6,AHNAK2
brca_metabric:MB-6006	MYO1A,KMT2C,NOTCH1,SPACA1,PIK3CA,MAP3K10,SETD1A,MAP3K1
brca_metabric:MB-6007	ERBB4,PTPRM,CHD1,DNAH2,PRKCE,MUC16,NCOR2,TP53,ASXL1,AHNAK,SYNE1,CDH1,PIK3CA,RUNX1,SMARCC2,BRCA1
brca_metabric:MB-6008	AKAP9,COL22A1,DNAH11,CDH1,AHNAK2,MYO3A
brca_metabric:MB-6012	GATA3,ACVRL1,RYR2,KMT2C,PDE4DIP,UTRN,RUNX1,PIK3CA
brca_metabric:MB-6014	MAP3K1,PIK3CA
brca_metabric:MB-6021	AGTR2,CBFB,PIK3CA
brca_metabric:MB-6023	STAB2,ERBB2,CDH1,SMARCC2,AGMO
